| Contenidos | 3º | 4º |
| | Identifica qué, quién, cómo, cuándo, dónde y por qué en una nota informativa o reporte de noticia. | Compara cómo se presenta una misma noticia en distintos medios de comunicación e identifica diferencias y semejanzas en su tratamiento. |
| | Distinque entre notas informativas sobre noticias y opiniones acerca de las mismas. | Comenta y comparte sus impresiones y comparte sus impresiones sobre diferencias en el tratamiento de una noticia. |
| | Discute y comparte noticias y opiniones sobre éstas a través de medios a su alcance, como periódico mural o boletín escolar. |  |
| Uso de textos formales para atender diversos asuntos personales o del bienestar común. | Explora y reconoce características de documentos personales, como acta de nacimiento, credenciales, cartilla de vacunación y comprobantes de estudio. | Identifica formularios que se emplean en la gestión de determinados trámites personales. |
| | Reflexiona sobre las funciones que tienen los documentos personales. | Comprender el contenido de documentos de uso de trámites personales. |
| | Reconoce situaciones en las que los documentos personales son necesarios y/o útiles. | Reflexiona sobre las características gráficas y de diseño de dichos documentos: tipografía, logotipos, recuadros, subrayados. |
| | Comprende la utilidad y el significado de las siglas de las instituciones que expiden los documentos, así como el valor de los sellos y firmas de autorización. | Reconoce la relación entre los documentos personales, su identificad y el ejercicio de sus derechos. |
| Entrevistas con personas de la comunidad para conocer diversos temas. | Reconoce las características de la entrevista y sus propósitos. | Participa en entrevistas a distintos personajes de la comuniad acerca de condiciones problemáticas que padecen y posibilidades de solución. |
| | Observa, lee y comenta entrevistas. | Elabora preguntas pertinentes que recaben la información deseada y evita plantear redundantes.  Usa signos de interrogración y puntuación para escribir las preguntas y respuestas. |
| | Comprende la utilidad de elaborar cuestionarios para obtener la información que desea, y reconoce la diferencia entre plantear preguntas cerradas y abiertas. | Planifica entrevistas: define propósito(s), identifica persona(s), por entrevistar, plantea pregunta(s), duración, lugar, fecha. |
| | Entrevista a personas de la comunidad, o externas, con conocimiento sobre el tema y con propósitos y preguntas definidos previamente. | Usa pautas que norman intercambios orales: respetar turno para hacer uso de la palabra, prestar atención, adecuar tono y volumen de voz, emplear fórmulas de cortesía, plantear preguntas, exponer opiniones. |
| | Respeta turnos para hablar y escuchar, presta atención a la persona entrevistada, adecua tono y volumen de voz, plantea preguntas elaboradas con antelación. |  |
| Indagación sobre la diversidad lingüística en su comunidad y el resto del país. | Reconoce nombres de lugares, objetos y otras palabras cotidianas que tienen raíces en lenguas indígenas. | Observa y reproduce expresiones, orales y escritas, con raíces en lenguas originarias, que son usuales en su comunidad y en otras. |
| | Emplea, en forma oral y escrita, expresiones lingüísticas identificadas. | Identifica lenguas que se hablan en su municipio y en su entidad, y en qué contextos y ocasiones. |
| | Identifica expresiones variantes de su lengua materna en comunidades diferentes. | Reflexiona acerda de la relevancia que tiene para la vida social hablar y escribir según el contexto y los interlocutores e interlocutoras. |
| | Conoce lenguas diferentes a la suya, que se hablan en su localidad y en otras regiones del país. | Identifica variantes de su lengua materna que se usan en comunidades diferentes. |
| Uso de croques y mapas para describir trayectos o localizar lugares. | Observa croquis e identifica sus características y función. | Observa mapas e identifica sus características y función. |
| | Identifica convenciones gráficas usadas en croquis. | Identifica convenciones gráficas ysadas en mapas. |
| | Reconoce y usa palabras para dar indicaciones sobre lugares o trayectos, como esquina, derecha, izquierda, al lado, paralelo. | Comprende y usa vocabulario adecuado para dar indicaciones a fin de localizar lugares en un mapa. |
| | Elabora croquis para representar trayectos. | Elabora mapas para representar lugares. |
| | Describe trayectos a partir de la información contenida en croquis. |  |
| Reconocimiento y reflexión sobre el uso de elementos de los lenguajes artísticos en manifestaciones culturales y artísticas de la comunidad y del resto del mundo. | Realiza recreaciones orales o escritas, acompañadas de una representación gráfica, como dibujos, cómics, historietas, secuencias de dibujos que realizan movimientos ("filioscopio" o flip books) a partir de la observación de videos o de la asistencia a lugares en donde se lleven a cabo manifestaciones culturarales y artísticas. | Distingue movimientos, vestuarios, aromas, gestos, sonidos y objetos, en las manifestaciones culturales y artísticas de su comunidad y otros lugares del mundo, para reflexionar sobre su sentido y significado. |
| | Compara movimientos, sonidos, formas, colores, gestos y objetos de manifestaciones culturales y artísticas de su comunidad con los otros lugares. | Interactúa con manifestaciones culturarles y artísticas de su comunidad y las compara con las de otras lugares, compartiendo sus conclusiones, mediante fotografías o dibujos comentados, o bien, mediante un escrito. |
| | Expresa sus gustos e intereses hacia las manifestaciones culturales y artísticas, y realiza descripciones orales o escritas, para agruparlas de acuerdo con sus similitudes en un colllage de dibujos, fotografías o recortes. | Aprecia la diversidad cultural y lingüística en su país y el mundo mediante la reflexión sobre algunas manifestaciones culturales y artísticas de su interés para conocer su contexto. |
| Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad. | Identifica aspectos por mejorar de la escuela o del resto de la comunidad a partir de gustos e intereses propios, para generar ideas sobre distintas posibilidades de transformación y las representa mediante descripciones, dibujos, bocetos o maquetas. | Crea producciones con distintos lenguajes, oral, escrito, musical, visual, teatral, dancístico, que representen vínculos respetuosos con la diversiad para su participación en la mejora comunitaria. |
| | Dialoga sobre las transformaciones que han tenido distintos espacios escolares y del resto de la comunidad a partir de cambios impulsados a través de los lenguajes artísticos, como murales, esculturas, teatro callejero, recitales o bailes al aire libre. | Elabora una propuesta con intención artística, en colectivo, mediante movimientos, sonidos, formas, colores, gestos y objetos, para ofrecer propuestas de solución a situaciones o problemas identificados, ya sea en la escuela o en el resto de la comunidad. |
| | Explora y emplea movimientos, sonidos, formas, colores, texturas, gestos, objetos y palabras, para representar situaciones del espacio escolar o de la localidad. | Opina de manera oral y escrita sobre propuestas realizadas por sus pares, así como de los elementos y recursos de los lenguajes que emplearon, y de qué manera consideran que éstas mejoran los espacios escolares y comunitarias. |
| | Crea producciones con distintos lenguajes, oral, escrito, musical, visual, teatral, dancístico, en las que destauqe aspectos valiosos de la escuela o la comunidad. | Experimenta con una variedad de formas, colores, texturas, sonidos, movimientos, gestos y objetos, para crear una propuesta artística colectiva que mejore el espacio que habita. |
| | Construye propuestas artísticas de manera colectiva, a partir del uso de formas, colores, texturas, sonidos, movimientos y gestos que permitan generar una mejora para el bien común. |  |
| Lectura y creación de poemas, canciones y juegos de palabras para su disfrute. | Lee y escucha poemas, canciones y juegos de palabras, de acuerdo con sus gestos e interes, para propiciar su disfrute. | Reconoce algunas características del contexto de creación de un poema, canción o juego de palabras, para realizar interpretaciones de su significado. |
| | Reconoce la rima y la aliteración como elementos rítmicos de poemas, canciones y juegos de palabras. | Establece relaciones relaciones entre el texto y las experiencias de vida, a partir de lo que le sugiere su lectura (figuras de significación). |
| | Explora y combina sonidos y palabras para jugar con su acomodo y entonación, y modifica las palabras o la letra de una canción, siguiendo el ritmo original. | Identifica y reflexiona sobre los elementos rítmicos y melódicos de los textos poéticos de frases, palabras, sílabas, etcétera, en los poemas, canciones y juegos de palabras. |
| | Reconoce el contenido de distintos poemas y canciones y lo relaciona con experiencias personales o colectivas, para otorgarles un sentido propio. | Revisa de manera lúdica las variaciones que se dan en la lectura en voz alta, en cuanto a los tonos, pausas y acentos posibles.  Asimismo, interpreta los diferentes tonos, pausas y acentos que realiza cada persona al leer en voz alta. |
| | Realiza inferencias de sentido y significado, a partir de la lectura y socialización de trabalenguas, chistes, adivinanzas, refranes y acertijos. | Experimenta con la creación de poemas en verso y prosa, canciones o juegos de palabras, a partir del establecimiento de un tema que le sea significativo. |
| Experimentación con elementos visuales y sonoros en producciones colectivas artísticas. | Combina secuencias de sonidos rápidos, lentos, agudos, graves, fuertes, débiles, con pausas y acentos, producidos con objetos del entorno, el cuerpo y/o la voz, para transmitir una idea colectiva. | Crea un cortometraje colectivo, utilizando objetos cotidianos en animaciones con secuencias fotográficas y lo sonoriza para compartir experiencias. |
| | Realiza una composición visual colectiva con objetos a su alcance para representar distintas ideas y formas mediante esculturas efímeras, performances o instalaciones. | Recrea una experiencia colectiva mediante la intervención o transformación de un objeto significativo, con el uso de colores, telas, materiales reciclados y elementos de la naturaleza, entre otros. |
| | Elabora un libro de artista o libro objeto, previa selección de textos, en el que experimenta con materiales diversos, como cartón, reciclados, telas, origami; y con el uso de diferentes elementos de los lenguajes artísticos, como puntos, líneas, texturas, formas, colores e imágenes y los comparte con sus pares. | Elabora una producción artística colectiva que le permita imaginar formas de incidir constructivamente en su entorno natural y social, utilizando elementos y recursos de los lenguajes artísticos. |
| Representación de hechos y experiencias significativas mediante el empleo de recursos textuales, visuales, corporales y sonoros. | Representa lúdicamente una experiencia significativa con el uso de movimientos, formas, gestos, sonidos, colores y objetos para construir nuevos significados. | Selecciona los recursos textuales que le permiten recrear un hecho significativo, de acuerdo con el énfasis que busca comunicar. |
| | Reelabora acciones cotidianas al jugar con movimientos rápidos o lentos, fuertes o débiles, con pausas o acentos, imaginando distintos espacios donde se llevan a cabo para descubrir nuevas maneras de realizarlas. | Reflexiona sobre una experiencia significativa que ha transformado su manera de ser o vivir, y la recrea por medio de una historia, que representa con objetos animados y sonidos corporales. |
| | Contrasta lúdicamente el lenguajes figurado y el literal, por medio de preguntas retóricas, comparaciones y metáforas. | Realiza un cortometraje con imágenes de su entorno, o elabora un filioscopio (flip book), para narrar un acontecimiento significativo de la comunidad. |
| | Describe un hecho significativo mediante la estructura narrativa de su elección, estableciendo para cada parte una secuencia de movimientos, con acompañamiento musical, lo cual complementa con desplazamientos, pausas, acentos y velocidades corporales. |  |
| Identificación del uso de la fantasía y la realidad en diferentes manifestaciones culturales y artísticas. | Distingue la fantasía de la realidad en manifestaciones culturales y artísticas de su comunidad y de otros lugares del mundo. | Analiza la representación de distinas formas de ser y estar en el mundo, incluyendo al género, en manifestacioines culturales y artísticas que sean de su interés. |
| | Aprecia el uso intencional de formas, colores, sonidos, texturas, movimientos, gestos u objetos, que expresan la realidad y la fantasía en manifestaciones culturales y artísticas. | Crea un personaje, emplenado elementos de los lenguajes artísticos, que retome aspectos reales y fantásticos de una manifestación cultular o artística, para expresar sus gustos e intereses. |
| | Comenta impresiones y sensaciones, a partir de la identificación del uso intencional de formas, colores, sonidos, texturas, movimientos o gestos, en las manifestaciones culturales y artísticas de su interés. | Escribe comentarios críticos sobre manifestaciones culturales y artísticas, y los comparte por medio de una publicación física y/o electrónica elaborada con sus compañeras y compañeros. |
| Lectura dramatizada y representación teatral. | Reconoce características de los textos dramáticos, como diálogos, acotaciones, listado de personajes, espacio y temporalidad, al realizar una lectura comprensiva de los mismos. | Explora en colectivo el movimiento, el gesto, la forma, el color y el sonido, para recrear fragmentos de una lectura de su interés, por medio del teatro de títeres, sombras o papel. |
| | Transforma objetos y recursos a su alcance de manera creativa, para utilizarlos en la representación de personajes, al realizar una lectura dramatizada. | Realiza, en colectivo, una lectura dramatizada o teatro de atril de un texto dramático, jugando con combinaciones de secuencias de sonidos rápidos, lentos, agudos, graves, fuertes, débiles, con pausa y con acentos variados. |
| | Improvisa con el uso del cuerpo y la voz algunas situaciones significativas, identificadas en distintas narraciones. | Identifica la esctructura externa del texto dramático, conformada por diálogos, listado de personajes y acotaciones. |
| | Participa en juegos de roles en los que representa diferentes personajes, en espacios y tiempos definidos. | Conoce otros tipos de textos en los que se puede realizar una lectura dramatizada: historieta, cómic, manga, que contienen onomatopeyas, símgolos, viñetas, etcétera. |
| | Explora posibilidades expresivas del cuerpo, el espacio y el tiempo, en la construcción de historias narrativas. |  |
| Comprensión y producción de cuentos para su disfrute. | Escucha y lee cuentos de distintos orígenes y autores. | Selecciona, lee y escucha cuentos de distintos orígenes y autores. |
| | Reconoce relaciones causa-efecto entre las partes de los cuentos. | Reflexiona sobre el uso de los tiempos pretérito y copretérito para narrar sucesos pasados, y sobre el empleo del presente en diálogos directos. |
| | Desarrolla una historia con una secuencia causal de hechos derivados de un conflicto inicial que se soluciona al final. | Planea, escribe, revisa, corrige y comparte cuentos sobre diversos temas. |
| | Planea, escribe, revisa, corrige y comparte cuentos sobre temas de su interés. | Escribe un cuento de manera colectiva y elabora los personajes con objetos cotidianos y realiza una representación frente a un público. |
| | Reconoce semejanzas y diferencias entre los cuentos y los eventos de la vida cotidiana, para darles un sentido y significado propios. |  |
