| Contenidos | 5º | 6º |
| | Indaga posibles riesgos de los hábitos de alimentación personales y familiares, como diabetes, hipertensión, colesterol elevado, entre otros, propone posibles cambios en su alimentación a partir de las alternativas que están disponibles en su localidad y en las prácticas de higiene relacionadas con la preparación y consumo de alimentos. | Analiza etiquetas de diversos productos que consume regularmente para conocer los ingredientes que los componen, así como su contenido y aporte nutrimental, y tomar decisiones a favor de una alimentación saludable. |
| | Describe de dónde provienen y cómo se producen o procesan los alimentos que consume y los beneficios nutrimentales que estos tienen; diseña distintos menús basados en las características de la dieta correcta. | Propone platillos para el consumo familiar en los que incorpora alimentos regionales y de temporada que brinden una alimentación saludable a bajo costo. |
| | Comprende que su alimentación está relacionada con las costumbres de la familia y los productos de consumo disponibles en su comunidad, a partir de compararla con otras formas de alimentación en diferentes regiones del país y con otros países. | Propone y practica acciones para prevenir enfermedades no transmisibles como sobrepeso, obesidad y desnutrición, vinculadas con factores protectores como actividad física diaria, alimentación baja en azúcares, sal y grasas, además de beber agua simple potable. |
| | Analiza y explica la relación que tiene mantener una dieta correcta con el crecimiento y funcionamiento adecuado del organismo, así como para prevenir enfermedades no transmisibles como la diabetes o la hipertensión. |  |
| Funciones vitales que caracterizan a plantas y animales como seres vivos, y su relación con el entorno natural, así como sus cambios a través del tiempo. | Explica la reproducción en plantas por semillas, tallos, hojas, raíces y su interacción con otros seres vivos y el entorno natural; identifica y representa las estructuras de una flor que participan en la reproducción. | Indaga y explica cambios en los seres vivos y en el entorno natural a través del tiempo a partir de reconocer causas y consecuencias de su extinción hace más de 10 000 años y en la actualidad, en México y en el mundo. |
| | Describe interacciones que ocurren entre los factores físicos y biológicos que intervienen en el proceso de reproducción de las plantas: polinización, dispersión de semillas y frutos o germinación. | Comprende y explica la importancia de los fósiles como evidencia para la reconstrucción de la vida en el pasado, su relación con organismos y entornos actuales y la evolución de los seres vivos; describe cómo se lleva a cabo el proceso de fosilización a partir de construir modelos. |
| | Indaga el tipo de desarrollo y nacimiento de diversos animales (insectos, arácnidos, moluscos, aves, mamíferos, reptiles, peces y anfibios) para clasificarlos en vivíparos y ovíparos. | Propone y practica acciones para cuidar a los seres vivos actuales y prevenis su extinción. |
| | Comprende que la reproducción es una función que caracteriza a todas la plantas y los animales como seres vivos. | Comprende que las funciones vitales de nutrición, reproducción y relación con el entorno natural caracterizan a los seres vivos, incluido el ser humano. |
| Factores que conforman la biodiversidad y el medio ambiente, la riqueza natural de México y su relevancia como parte del patrimonio biocultural de la humanidad y la importancia de su conservación. | Comprende que la biodiversiad es la cantidad y variedad de ecosistemas y de seres vivos (animales, plantas, hongos y bacterias); e identifica la cantidad total de espcies identificadas hasta el momento por la ciencia a nivel mundial. | Comprende que el medio ambiente es el conjunto de componentes naturales (factores biológicos, seres vivos, y factores físicos: agua, aire, suelo, sol, clima, entre otros) en interacción con los componentes sociales (aspectos culturales, económicos, científicos, tecnológicos y políticos). |
| | Indaga los factores que favorecen la presencia en México de una variedad de ecosistemas y seres vivos, que lo hacen megadiverso; valora la importancia natural y sociocultrual de su conservación. | Analiza situaciones que se relacionan con problemas medio ambientales de la comunidad y el impacto que tienen en la salud ambiental. |
| | Describe los servicios ambientales de la biodiversidad: producción de oxígeno, regulación de climas, abastecimiento de agua, moderación en el impacto de fenómenos naturales, control de plagas, obtención de materias primas, espacios vitales para plantas y animales, espacios para actividades recreativas y culturales, entre otros. | Propone y practica acciones que favorecen el cuidado del medio ambiente; comprende el estrecho vínculo que tiene con el bienestar común, por lo que se requiere establecer una relación armónica con el medio ambiente. |
| Pérdida de biodiversidad, problemas medio ambientales en la comunidad, México y el mundo, acciones orientadas a fortalecer estilos de vida sustentables. | Analiza y explica el impacto de las actividades humanas en la biodiversidad, en particular sobre la variedad y cantidad de seres vivos que hablan en la comunidad y en la salud. | Analiza y explica algunos problemas medio ambientales de la comunidad, México y el mundo, sus causas y consecuencias en la salud ambiental. |
| | Analiza situaciones relacionas con la pérdida de biodiversidad a nivel local y nacional, reonoce las causas y las consecuencias para la salud y la dinámica de los ecosistemas; identifica y explica prácticas locales y estrategias estatales o nacionales para el cuidado de la biodiversidad. | Comprende que el efecto invernadero es un proceso natural que favorece la vida en el planeta; establce relaciones entre sus alteración, la contaminación del aire y el cambio climático, así como las consecuencias en el medio ambiente y la salud. |
| | Comprende la importancia que tiene la biodiversidad y el valor del cuidado de los seres vivos y las condiciones naturales que favorecen su existencia; propone y practica acciones como el  consumo responsable que favorecen su cuidado. | Indaga y propone acciones orientadas a promover el consumo responsable en la escuela, familia y comunidad para favorecer estilos de vida sustentables y el bienestar común. |
| |  | Indaga proyectos de mejora del medio ambiente desarrollados por diversos pueblos, culturas, grupos y organizaciones de la sociedad civil, dependencias estatales o naconales; y reconoce el papel que desempeñan en la prevención y mitigación de diferentes problemáticas medio ambientales. |
| Costos y beneficios del consumo de agua, energía eléctrica y combustibles en la satisfacción de necesidades personales. | Indaga y analiza la cantidad de agua que se consume en diversas actividades en la casa, compara su consumo diario e identifica en qué actividades se utiliza una mayor o menor cantidad de agua. | Describe qué actividades de la casa y la escuela, se utilizan recursos energéticos: energía eléctrica y diversos combustibles (madera, petróleo, carbón, gas) y analiza cómo impactan en el medio ambiente. |
| | Analiza problemas relacionados con el agua presentes en la casa, escuela y comunidad; reconoce la importancia de su consumo y practica acciones para aprovecharla de manera responsable. | Indaga y calcula el consumo de energía eléctrica, de gas o carbón que se utiliza en cada actividad; reconoce y practica acciones concretas para disminuir su consumo en casa y escuela. |
| | Reconoce y calcula la cantidad de "agua virtual" que se utiliza en la producción de satisfactores (productos y servicios) y reflexiona acerca del consumo de aquellos productos que son necesarios y aquellos que no lo son, para tomar decisiones de consumo responsable y favorecer el cuidado del medio ambiente. | Analiza el costo ambiental que implica el uso de combustibles y energía eléctrica para tomar decisiones de consumo responsable en casa, escuela y comunidad, y dismiuir el impacto en el medio ambiente. |
| Propiedades de los materiales: dureza, flexibilidad y permeabilidad en su aplicación en la satisfacción de necesidades; caracterización de los gases con base en sus propiedades. | Experimenta con diversos materiales las propiedades de dureza -resistencia que tiene al rayado y el corte en su superficie- flexibilidad -cambio de forma al doblasrse sin romperse- y permeabilidad -paso de un líquido a través de él sin que se altere su composición. | Comprende que el aire es un gas, a partir de describir sus características: color, olor, sabor y si se puede comprimir, asir o introducir a un recipiente. |
| | Relaciona las propiedades de dureza, flexibilidad y permeabilidad de los materiales con su uso, para la satisfacción de algunas necesidades; toma decisiones sobre cuál es el más adecuado y las consecuencias de su uso excesivo para el medio ambiente. | Describe propiedades de los gases al contrastarlos con sólidos y líquidos, con base en el volumen -espacio que ocupan-, la compresibilidad -propiedad de reducir su volumen- y la fluidez -propiedad de ocupar todo el espacio del recipiente que los contiene-. |
| | Diseña y construye objetos con base en las propiedades de dureza, flexibilidad y permeabilidad de algunos materiales (vidrio, papel, cartón, plástico, unicel o metales). | Comprnde que los gases, al igual que los líquidos y los sólidos, tienen masa a partir de medirla con ayuda de una balanza. |
| | Analiza la relevancia de los materiales como aporte de la ciencia y la tecnología en la satisfacción de necesidades, así como los efectos de su uso inadecuado o poco ético en el medio ambiente. | Describe los cambios de volumen que presenta un gas a partir de experimentar con variación de la temperatura; comprende que lo ocurrido es por la expansión del gas y no por el aumento de la cantidad de materia de este. |
| Cambios permanentes en los materiales y sus implicaciones en la vida diaria. | Describe que, un cambio temporal, implica la transformación de la forma e incluso de las propiedades de los materiales, pero no de su composición, mientras que, en un cambio permanente, las propiedades y composición de los materiales se modifican, po lo que no vuelven a su estado original, ya que se transforman en otros diferentes. | Explica la combustión y la oxidación de diferentes materiales como cambios permanentes, los actores que intervienen en ellos e identifica sus implicaciones en la vida diaria. |
| | Describe a la cocción y descomposición de los alimentos como cambios permanentes, a partir de experimentar con alimentos y la variación de la temperatura. | Identifica y describe la oxidación de materiales en su entorno, como de los de los alimentos (manzanas, plátanos o aguacate) y de metales (hierro) así como las sustancias o materiales que se utilizan para evitar oxidación. |
| | Indaga y describe los beneficios de la cocción de alimentos, en función de las variables de temperatura y tiempo, así como los factores que aceleran o retardan la descomposición de los alimentos y las implicaciones para la salud. | Plantea y comprueba hipótesis relacionadas con la combustión, al experimentar con diversos materiales como madera o papel, y describir el cambio en sus propiedades, antes y después del proceso (transformación de las propiedades originales). |
| | Reconoce y valora las técnicas utilizadas por diferentes puebos y culturas relacionados con la cocción y conservación de alimentos. | Indaga y describe las implicaciones medio ambientales, económicas y sociales de los procesos de combustión y oxidaci´ón y acciones que pueden realizarse para disminuir su efecto. |
| Efecto del magnetismo y de la fuerza de gravedad. | Comprende que el magnetismo es una fuerza que actúa a distancia en los objetos, a partir de experimentar con imanes y el movimiento de objetos de diversos materiales. | Describe el efecto de la fuerza gravitacional sobre los cuerpos, a partir de experimentar con la caída y reposo de objetos, explica y representa con modelos los cambios ocurridos en la caídad de objetos. |
| | Describe las características de los imanes: polos (norte y sur) y sus efectos de atracción y repulsión; establece relaciones entre el tipo de materiales y el efecto de los imanes. | Comprende que la masa es la cantidad de materia de un cuerpo, a diferencia del peso, que es la fuerza con la que la Tierra atrae dicho cuerpo por acción de la gravedad, a partir de actividaes prácticas o simuladores que ejemplifiquen la caída de diversos objetos con masas iguales y diferentes, e identifica que el tiempo de caída es independiente de la masa. |
| | Reconoce que la interacción de fuerzas magnéticas es la base de tecnologías modernas, incluidos motores eléctricos y generadores: indaga los cambios que su introducción ha significado en actividades humanas como la comunicación (celulares y WIFI) y el transporte. |  |
| Transformaciones de la energía térmica y eléctrica, así como su aplicación tecnológica. | Comprende que el calor es una forma de energía, que fluye entre objetos con diferente temperatura al ponerlos en contacto, siempre del objeto de mayor al de menor temperatura. | Comprende que la electricidad es una forma de energía que se caracteriza por el movimiento o acumulación de cargas eléctricas, y experimenta con las propiedades de conducción o aislamiento eléctrico, para identificar algunos materiales, como los metales que poseen conductividad eléctrica. |
| | Describe, experimenta y representa diferentes tipos de transferencia de energía térmica: conducción y convección; identifica su aplicación en las actividades humanas. | Describe que hay dos tipos de cargas eléctricas "positiva (+)" y "negativa (-)" a partir de las cuales se determinan las interacciones entre los objetos; cuando dos objetos cargados eléctricamente se atraen, significa que sus cargas eléctricas son diferentes (+ -) y si se repelen significa que sus cargas eléctricas son iguales (++,--). |
| | Analiza los beneficios y riesgos generados en el medio ambiente y en la salud por la generación y consumo de energía térmica. | Reconoce las propiedades que tienen los materiales para conducir la corriente eléctrica (conductores) y aquellos que no la conducen (aislantes) y los aplica en un circuito eléctrico; experimenta y describe interacciones de atracción y repulsión eléctrica (electricidad estática) de objetos. |
| |  | Reflexiona acerca del uso de la energía eléctrica para satisfacer necesidades y el impacto negativo en el medio ambiente que produce su generación y consumo. |
| Sistema Solar y Universo: características de sus componentes, y aportaciones culturales, científicas y tecnológicas que han favorecido su conocimiento. | Indaga, describe y representa con modelos las características de forma, ubicación, color, tamaño, distancia al Sol, temperatura, masa, número de satélites naturales y anillos, entre otras, de los componentes del Sistema Solar: Sol, planetas, satélites y asteroides. |  |
| | Identifica y explica las características del movimiento de rotación y de traslación de los planetas y otros componentes del Sistema Solar: velocidad, dirección y trayectoria. |  |
| | Describe las características principales de la Vía Láctea, y la reconoce como la galaxia en la que se ubica el Sistema Solar. |  |
| | Indaga, argumenta y valora la importancia de diversas aportaciones culturales, científicas y tecnológicas, entre ellas, los telescopios, satélites artificiales y sondas espaciales en la investigación y conocimiento del Universo. |  |
| Estudio de los números | Expresa oralmente la sucesión numérica hasta seis cifras, en español y hasta donde sea posible, en su lengua materna, de manera ascendente y descendente a partir de un número natural dado. | Expresa oralmente la sucesión numérica hasta billones, en español y hasta donde sea posible, en su lengua materna, de manera ascendente y descendente a partir de un número natural dado. |
| | A través de situaciones vinculadas a diferentes contextos ordena, lee, escribe e identifica regularidades en números naturales de hasta nueve cifras. | Ordena, lee y escribe números naturales de más de nueve cifras e interpreta números decimales en diferentes contextos. |
| | Lee, escribe y ordena números decimales hasta diezmilésimos en notación decimal y letra, y los interpreta en diferentes contextos. | Identifica semejanzas y diferencias entre el sistema de numeración decimal y otros sistemas como el maya o el romano. |
| | Resuelve situaciones problemáticas que implican comparar ordenar fracciones a partir de construir fracciones equivalentes al multiplicar o dividir al numerador y al denominador por un mismo número. |  |
| | Reconoce, interpreta y utiliza las fracciones 1/2, 1/4, 3/4, 1/5 y 1/8 expresados en notación decimal y viceversa en diferentes contextos. |  |
| Suma y resta, su relación como operaciones inversas. | Propone y resuelve situaciones problemáticas que implican sumas y restas con números decimales utilizando el algoritmo convencial y fracciones con diferentes denominadores. | A partir de situaciones problemáticas vinculadas a diferentes contextos, suma y resta números decimales y fracciones con diferentes denominadores. |
| | Utiliza, explica y comprueba sus estrategias para calcular mentalmente sumas y restas de dos números múltiplos de 100 y dos fracciones cuyos denominadores son múltiplos. | Utiliza, explica y comprueba sus estrategias para calcular mentalmente sumas y restas de dos números decimales hasta centésimos. |
| Multiplicación y división, su relación como operaciones inversas. | Resuelve situaciones problemáticas vinculadas a diferentes contextos que implican multiplicar números fraccionarios y números decimales, con un número natural como multiplicador. | Resuelve situaciones problemáticas vinculadas a diferentes contextos que implican dividir números decimales entre naturales. |
| | Resuelve situaciones problemáticas vinculadas a diferentes contextos que implican dividir números naturales y el cociente resulte un número decimal. | Resuelve situaciones problemáticas vinculadas a diferentes contextos que implican dividir números fraccionarios entre números naturales. |
| Relaciones de proporcionalidad. | Resuelve situaciones problemáticas de proporcionalidad en las que determina valores faltantes de números naturales, a partir de diferentes estrategias (cálculo del valor unitario, de dobles, triples o mitades). | A partir de situaciones problemáticas de proporcionalidad vínculadas a diferrentes contextos, determina valores faltantes en las que en ocasiones se conoce el valor unitario y en otras no. |
| | Resuleve situaciones problemáticas vinculadas a diferentes contextos que implican comparar razones expresadas con dos números naturales. | Resuelve situaciones problemáticas vinculadas a diferentes contextos que implican comparar razonres expresadas con dos números naturales y con fracción y con una fracción. |
| | Identifica que los porcentajes de 50%, 25%, 20%, 10% tienen relaciónn con las fracciones 1/2, 1/4, 1/5, 1/10, a partir de resolver situaciones problemáticas que implican el cálculo de porcentajes. | Resuelve situaciones problemáticas vinculadas a diferentes contextos que implican calcular tanto por ciento de una cantidad o el porcentaje que representa una cantidad de otra. |
| Cuerpos geométricos y sus características. | Reconoce y describe semejanzas y diferencias entre un prisma y una pirámide; propone desarrollos planos para construir prismas rectos cuadrangulares o rectangulares. | Explora y reconoce las características del cilindro y cono; anticipa y comprueba desarrollos planos que permiten construirlos. |
| Figuras geométricas y sus características. | Con el apoyo de instrumentos geométricos, construye círculos a partir de distintos datos (longitud del diámetro o del radio, a partir de dos puntos); distingue la diferencia entre circunferencia o círculo e identifica el diámetro y el radio. | Identifica y comprueba en diferentes objetos y dibujos con forma circular, la relación que existe entre la circunferencia y el diámetro (valor aproximado "pi"). |
| Ubicación espacial | Elabora e interpreta croquis para comunicar la ubicación de seres vivos, objetos, trayectos o lugares. | Lee, interpreta y elabora planos para comunicar la ubicación de seres vivos y objetos. |
| |  | Resuleve situaciones que requieren puntos en el primer cuadrante del plano cartesiano. |
| Medición de longitud, masa y capacidad. | Resuelve situaciones problemáticas vinculadas a diferentes contextos que requieren calcular longitudes, masas o capacidades utilizando unidades convencionales, además del kilómetro y la tonelada. |  |
| Perímetro, área y noción de volumen. | Distingue unidades lineales de cuadráticas, al calcular, con el apoyo de retículas cuadriculares, el perímetro y área de diferentes polígonos para reconocer que existen: a) figuras diferentes con el mismo perímetro y diferente área; b) figuras diferentes con la misma área y diferente perímetro; c) figuras diferentes con el mismo perímetro y con la misma área. |  |
| Organización e interpretación de datos. | Consgtruye tablas y gráficas de barras, e interpreta información cuantitativa y cualitativa contenida en ellas; interpreta la moda para responder preguntas vinculadas a diferentes contextos. | Interpreta información cuantitativa y cualitativa contenida en tablas, gráficas de barras y circulares para responder preguntas vinculadas a diferentes contextos; construye gráficas de barras. |
| |  | Genera y organiza datos, determina la moda, la media aritmética y el rango para responder preguntas vinculadas a diferentes contextos. |
| Nociones de probabilidad | Identifica situaciones de distintos contextos en las que interviene o no el azar; registra resultados de experiencias aleatorias en tablas de frecuencias y expresa la frecuencia absoluta y relativa. | Clasifica eventos de diversos contextos utilizando términos como seguro, imposible, probable, muy probable o poco probable que sucedan. |
| |  | A partir de distintas situaciones azarosas, determina los resultados posibles y los representa en tablas de doble entrada o en diagramas de árbol. |
