| Contenidos | 1º | 2º |
| | Asocia los sonidos vocálicos con sus letras correspondientes, así como los sonidos consonánticos más significativos para ellos o más usuales en su lengua. | Escribe nombres propios iniciando con una mayúscula, empleando espacios entre palabras y comienza a hacer uso de signos de puntuación en su escritura, reflexionando sobre la existencia de las convenciones de los lenguajes. |
| | Conoce formas de organización de textos en otras lenguas: originarias, árabe, chino, hebreo, etcétera. |  |
| Uso del dibujo y/o la escritura para recordar actividades y acuerdos escolares | Escribe y/o dibuja para realizar tareas en casa, recordar mensajes, llevar materiales a clase, registrar acuerdos, etcétera. | Registra por escrito instrucciones breves para realizar actividades en casa, listas de materiales o datos, asentar normas, etcétera. |
| Registro y/o resumen de información consultada en fuentes orales, escritas, audiovisuales, táctiles o sonoras, para estudiar y/o exponer. | Registra sobre un tema de su interés, por medio de la escritura, esquema, dibujo, fotografía y video, a partir de la escucha, lectura, observación u otra manera de interactuar con alguna fuente de información. | Registra información sobre un tema, a partir de la indagación en familia y el resto de la comunidad. |
| | Comparte o expone la información registrada. | Expone con congruencia, de manera oral o, en su caso, lengua de señas, su registro del tema. |
| |  | Registra y organiza información a través de la escritura, videograbación, esquematización, modelación sobre temas de su interés, a partir de la indagación en libros, revistas, periódicos, audiovisuales y con personas de la comunidad. |
| |  | Expone información registrada y organizada, de manera oral o en lengua de señas, con apoyo de imágenes, sonidos, actuación u otros recursos. |
| Empleo de textos con instrucciones para participar en juegos, usar o elaborar objetos, preparar alimentos u otros propósitos. | Sigue instrucciones, orales o escritas, para preparar un alimento sencillo y saludable (receta), utilizar o construir un objeto y/o participar en un juego o alguna actividad. | Realiza actividades a partir de la lectura de instructivos. |
| | Explica a sus compañeras y compañeros las instrucciones que siguió y revisa el proceso, así como el resultado. | Explica a sus compañeras y compañeros el proceso a seguir para el uso o construcción de objetos y para llevar a cabo otra actividad. |
| |  | Escribe, con el apoyo opcional de imágenes, instrucciones para uso o construcción de objetos, realizar actividades o algún otro propósito. |
| |  | Escribe, con el apoyo opcional de imágenes, instrucciones para uso o construcción de objetos, realizar actividades o algún otro propósito. |
| Producción e interpretación de avisos, carteles, anuncios, carteles, anuncios publicitarios y letreros en la vida cotidiana. | Identifica las características y funciones de letreros, carteles, avisos y otros textos públicos que se hallan en su contexto escolar y, en general, comunitario. | Reconoce características y funciones de anuncios publicitarios que se encuentran en su contexto escolar y, en general, comunitario. |
| | Propone ideas para la elaboración colectiva de letreros, carteles y/o avisos que contribuyan a lograr propósitos individuales y colectivos. | Elabora en forma individual y colectiva avisos publicitarios, escribe textos breves con formato de letreros, carteles y avisos, a partir de un propósito comunicativo establecido. |
| Elaboración y difusión de notas informativas en la escuela y el resto de la comunidad. | Identifica las características de una nota informativa y sus funciones. | Comenta en forma cotidiana notas informativas leídas o escuchadas. |
| | Reflexiona sobre la importancia de la veracidad de las notas informativas. | Indaga sobre hechos relevantes para su comunidad y elabora notas informativas  escritas sobre estos, con o sin ilustraciones. |
| | Colabora en la escritura colectiva de notas informativas breves, respetando sus principales características y funciones. | Difunde notas informativas en portadores de texto impresos o electrónicos, como periódico mural, boletín comunitario, blogs, portales de internet. |
| Producción de textos dirigidos a autoridades y personas de la comunidad, en relación con necesidades, intereses o actividades escolares. | Identifica necesidades de la escuela y de la localidad a partir de preguntas y observaciones que involucran a las compañeras y los compañeros, familiares, las vecinas y los vecinos, las y los docentes, autoridades y otras personas. | Indaga sobre necesidades, intereses y actividades de la escuela, así como sobre las formas en que personas de la comunidad podrían participar a favor de éstos. |
| | Identificia a personas de la comunidad que pueden contribuir a la solución de necesidades previstas. | Redacta textos, de manera individual o colectiba, dirigidos a alguna persona o institución de la comunidad, a fin de solicitar su intervención para satisfacer alguna necesidad, interés o invitarle a participar en actividades escolares. |
| | Elabora, en colectivo, dibujos y textos que expliquen las necesidades identificadas y mediante los cuales soliciten la intervención de personas que podrán contribuir para satisfacerlas. | Da seguimiento a la solicitud realizada, con el apoyo de la o el docente y familiares. |
| Lectura, escritura y otros tipos de interacción mediante lenguajes que ocurren en el contexto familiar. | Explora portadores de texto como libros, revistas, documentos digitales entre otras, que se encuentran en su ambiente familiar, si alguien los usa, con qué propósitos y en qué lengua están. | Realiza actividades de escritura con su familia y registra con quién escribe, qué escribe, para qué escribe, en qué lengua y con qué soporte (cuaderno, computadora, celular, entre otros). |
| Comunicación a distancia con familiares u otras personas. | Participa con ideas en la elaboración de un texto para alguien que vive en otro lugar, a través del dictado a la o el docente o de la escritura autónoma. | Comprende los elementos y procedimientos necesarios para enviar un mensaje a personas que viven lejos, ya sea por medios físicos o electrónicos. |
| | Comprende los elementos y procedimientos necesarios para enviar un mensaje a personas que viven lejos, ya sea por medios físicos o electrónicos. |  |
| Conversaciones o entrevistas con personas de la comunidad y otros lugares. | Formula preguntas acordes al tema que abordará una persona invitada y escucha de manera atenta la información. | Formula y ajusta sus preguntas en función de la información que requiere. |
| | Recupera con sus palabras la información que escuchó sobre el tema que abordó una persona invitada. | Recupera la información que escuchó, para relacionarla con otra inforamción, en textos escritos o en otros medios y contextos. |
| Reconocimiento de la diversidad lingüística y cultural en la familia, la escuela y el resto de la comunidad. | Identifica distintas maneras de emplear la lengua materna en su familia, escuela y el resto de la comunidad. | Indaga sobre su lengua materna y otras lenguas, ya sean indígenas o extranjeras, que se hanblan en su región. |
| | Reflexiona sobre las diferencias al emplear la lengua materna en función de la edad y el lugar de procedencia de los hablantes. | Comprende y aprecia la diversidad lingüística y cultural de su comunidad por medio de la escucha y la lectura de textos diversos, como poemas, canciones, mitos y leyendas. |
| | Comprende y aprecia la diversidad lingüística y cultural de su comunidad por medio del reconocimiento de expresiones en su lengua materna empleadas en la familia y la escuela. | Analiza y valora la importancia del uso y aprendizaje de su lengua materna. |
| Exploración de testimonios escritos, fotográficos y audiovisuales del pasado familiar y comunitario. | Expresa lo que sabe de su familia o de alguna persona cercana, a través de fotografías, eventos, objetos, comidas, entre otros elementos que permitan reconocer sus identificades individual y colectiva en relación con el reconocimiento del pasado. | Expresa ideas y emociones del pasado familiar y comunitario a través de fotografías, eventos, objetos, comidas, entre otros elementos que permitan reconocer sus identidades individual y colectiva en relación con el reconocimiento del pasado. |
| | Reconoce diversos sucesos familiares y comunitarios que ocurrieron antes de que naciera y reflexiona sobre su relación con el presente. | Produce textos y dibujos sobre sucesos familiares y comunitarios que ocurrieron antes de que naciera y su relación con el presente. |
| Reflexión sobre los medios de comunicación. | Describe y opina sobre lo que ve o escucha cotidianamente en medios de comunicación, como radio y televisión. | Comenta y cuestiona los contenidos de programas que ve o escucha en los medios de comunicación, para comenzar a construir un criterio propio. |
| | Reflexiona sobre lo que ve, escucha y siente al interactuar con distintos medios de comunicación. |  |
| Uso de elementos de los lenguajes artísticos en la vida cotidiana. | Reconoce que los movimientos, imágenes y sonidos constituyen lenguajes que permiten la comunicación. | Representa situaciones cotidianas relacionadas con el entorno natural y social, por medio de movimientos, sonidos e imágenes para comunicar sensaciones, emociones, sentimientos e ideas. |
| | Experimenta con formas, colores, sonidos, texturas, movimientos o gestos para expresar sensaciones, emociones, sentimientos e ideas que surgen en el entorno. | Crea secuencias con formas, colores, sonidos, texturas, movimientos o gestos para crear una historia que tenga lugar en su vida cotidiana. |
| | Imita sonidos o imágenes del entorno con su cuerpo o con objetos a su disposición. | Experimenta lúdicamente mediante sonidos, movimientos y gestos distintas acciones que se llevan a cabo en la vida cotidiana, para imaginar otras formas de realizarlas. |
| Uso de los lenguajes artísticos para expresar rasgos de las identidades personal y colectiva. | Representa lo que le significa a su nombre, es decir, el sentido que le da, por medio de formas, colores, texturas, sonidos, movimientos y gestos. | Reconoce y representa aspectos característicos de su identidad personal a través del uso de formas, colores, texturas, sonidos, movimientos y/o gestos. |
| | Recrea elementos de la naturaleza que le despiertan asombro mediante formas, colores, sonidos, movimientos y gestos. | Reconoce aspectos que conforman la identidad colectiva con sus pares y representa rasgos identitarios que comparten mediante formas, colores, texturas, sonidos, movimientos y/o gestos. |
| | Crea una producción artística colectiva, como un mural, video, exposición de dibujos o fotografías, en la que se compartan y expresen gustos e intereses personales y colectivos. | Representa por medio de formas, figuras, colores, texturas, sonidos, movimientos y/o gestos los elementos de la naturaleza que le despiertan distintas emociones, como curiosidad, temor, gusto y asombro. |
| Intervención del entorno familiar y escolar para imaginar y realizar propuestas de mejora. | Explorar, desde la perspectiva de género, las cualidades del entorno famliar y escolar y las representa mediante el uso intencional de formas, colores, texturas, sonidos, movimientos y gestos. | Reconoce sensaciones, emociones, sentimientos e ideas que le produce el entorno familiar y escolar para expresarlas mediante el uso intencional del cuerpo. |
| | Experimenta creativamente con cambios en la disposición de objetos en el entorno escolar y lo interviene de manera temporal con imágenes, cantos, movimientos, producciones escritas y sonidos para resignificar la percepción del espacio. | Imagina posibilidades de cambio y mejora, desde la perspectiva de género, en el entorno familiar y escolar, y las representa usando distintos formatos visuales, sonores y corporales en una producción artística. |
| |  | Interviene colectivamente el entorno escolar mediante cantos, producciones escritas, movimientos, bailes, objetos y figuras, partiendo de la toma de acuerdos, para identificar y plantear propuestas de solución a un problema. |
| Apreciación de canciones, rondas infantiles, arrullos y cuentos. | Escucha y canta diversas canciones, rondas infantiles y arrullos, elige las que son de su agrado y explica las razones de su elección. | Explora los elementos paratextuales de los libros (como portada, contraportada, título, ilustraciones, formato) que contienen los cuentos que escuchará y/o leerá, y anticipa su contenido. |
| | Sigue la letra impresa de las canciones, rondas infantiles y arrullos conocidos, mientras la o el docente u otra persona los canta, e identifica la relación entre algunas palabras y frases que sigue en la letra impresa y las que escucha. | Escucha y/o lee cuentos de libros explorados, y, al finalizar, verifica las anticipaciones realizadas. |
| | Sigue el ritmo y melodía de canciones, rondas infantiles y arrullos al cantarlas con la o el docente, y reflexiona sobre las características sonoras convencionales de las letras, palabras y frases que incluyen. | Emplea palabras cuya escritura conoce como pistas para la lectura de títulos y nombres de personajes y lugares donde se desarrollan las historias. |
| |  | Identifica las historias y personajes principales de los cuentos escuchados y/o leídos, y representa algunos por medio de títeres, esculturas, dibujos u objetos cotidianos. |
| Experimentación con elementos sonoros en composiciones literarias. | Escucha y lee poemas, trabalenguas y adivinanzas, para disfrutarlos y conocer algunos recursos lingüísticos, como la rima, la onomatopeya y el calambur. | Identifica rimas, onomatopeas, calambures y otros elementos sonoros en diferentes composiciones literarias. |
| | Reconoce la función y características de la rima (sonoridad, ritmo, musicalidad), así como la semejanza gráfica entre las palabras que riman. | Participa lúdicamente en el disfrute y creación de juegos de palabras con cualidades sonoras, en las que se emplean recursos lingüísticos, como la rima, la onomatopeya y el calambur. |
| | Produce rimas sencillas a partir de situaciones cotidianas. | Crea una secuencia sonora en la que explore variaciones de intensidad, duración, tono y timbre, para representar las sensaciones, emociones, sentimientos e ideas que le provocan las composiciones literarias. |
| | Interactúa con distintos poemas, trabalenguas y adivinanzas, para reconocer sus elementos sonoros. |  |
| Interacción con manifestaciones culturales y artísticas. | Interactúa con manifestaciones culturales y artísticas presentes en la comunidad, para reflexionar y dialogar sobre las emociones y sentimientos que le producen. | Explora manifestaciones culturales y artísticas y las relaciona con experiencias e ideas propias, para reconocerse como miembre de una comunidad. |
| | Reconoce que los seres humanos expresan sensaciones, emociones, sentimientos e ideas por medio de los lenguajes empleados en las manifestaciones culturales y artísticas. | Interactúa con manifestaciones culturales y artísticas de su comunidad, para identificar rasgos de su identidad colectiva. |
| | Identifica que las manifestaciones culturales y artísticas evidencian distintas formas de ser, estar y nombrar el mundo, haciendo uso de los elementos de los lenguajes artísticos; por ejemplo: formas, sonidos, colores, movimientos o gestos. | Analiza elementos de los lenguajes presentes en manifestaciones culturales y artísticas de su comunidad, y les da un uso estético al representar rasgos de sus identidades personales y colectiva. |
| Recreación de historias mediante el uso artístico de las palabras, del cuerpo, del espacio y del tiempo. | Interpreta historias sencillas. | Reconoce recursos gráficos de los cómics (viñetas, globos, planos) e identifica la función de las onomatopeyas, al emplearlos en la elaboración de cómics que cuentan historias. |
| | Reconoce características principales de diferentes historias (nudo, personajes, tiempo y espacio), para imaginar otros finales. | Comprende la función comunicativa de las onomatopeyas en la lectura y escritura de cómics que publica en el periódico mural o comunitario. |
| | Crea cómics a partir de una experiencia personal o de una lectura. | Representa una historia inventada en colectivo, utilizando objetos cotidianos como personajes, a los cuales les crea voz y vestuario. |
| | Emplea el cuerpo en una secuencia de movimientos para contar una historia sencilla o representar una narración de su interés. | Lee algunas historieras de contenido sencillo y comenta sus impresiones. |
| | Juega a hacer improvisaciones teatrales modificando el espacio y tiempo por medio de la ficción para crear historias propias. |  |
| Representación de distintas formas de ser y estar en el mundo a partir de la ficción. | Lee de forma individual y colectiva textos que contengan seres imaginarios, para representarlos empleando elementos de los lenguajes artísticos. | Construye personajes combinando distintas características de las personas y seres vivos de su entorno. |
| | Crea personajes fícticios, empleando formas, colores, texturas, movimientos, gestos y sonidos, a partir de una narración, poema, canción, pintura, escultura, película, historieta u obra de teatro. | Investiga sobre distintas formas de hablar, pensar, comer, moverse, vestirse y relacionarse de las personas de diferentes comunidades, para otorgarle características a un personaje creado por él. |
| |  | Reconoce que el vestuario, el maquillaje y las máscaras, entre otros recursos, se usan en manifestaciones culturales para enriquecer la caracterización de un personaje. |
