| Contenidos | 1º | 2º |
| Efectos de la aplicación de las fuerzas: movimiento y deformación. | Observa de manera directa o en diversos medios, la trayectoria (recta, curva o circular) y rapidez (rápido o lento) de diferentes animales al desplazarse, como: mariposas, zopilotes, colibríes, hormigas, delfines, serpientes, entre otros, y registra sus conclusiones. | Experimenta con objetos de diversos materiales para identificar cómo se deforman al empujarlos, jalarlos, ejercer una presión sobre ellos o hacerlos chocar. |
| | Experimenta con objetos al empujarlos y jalarlos para describir cómo se mueven, modifican su estado de reposo, se detiene, o cambian de sentido o rapidez; registra sus observaciones y conclusiones. | Reconoce la deformación de objetos como resultado de la aplicación de una fuerza y su relación con las propiedades de los materiales con los que están hechos. |
| | Caracteriza el movimiento con base en términos comunes, como "más lento que, más rápido que"  y la descripción de diferentes trayectorias: recta, curva o circular. |  |
| Características del sonido y de la luz. | Indaga y describe los sonidos producidos en su entorno; experimenta con diversos objetos o instrumentos musicales, para identificar la fuente sonora cómo se produce el sonido (golpear, rasgar o soplar). | Explora su entorno para distinguir y registrar fuentes naturales y artificiales de luz y su aprovechamiento en actividades cotidianas; indaga beneficios y riesgos de su uso, propone y difunde medidas para el cuidado de la salud. |
| | Distingue, clasifica y registra en tablas, algunas características del sonido a partir de percibir distintos sonidos, como intensidad o volumen (qué tan fuerte o débil es), tono (agudo o grave) y duración (largo o corto). | Experimenta y describe caracterçisticas perceptibles de la luz, a partir de la interacción con diferentes fuentes luminosas y materiales (vidrio, madera, metal, papel o, plástico) con los que están elaborados objetos transperentes, opacos o brillantes. |
| | Establece relaciones entre la intensidad del sonido, la generación de problemas auditivos y la contaminación auditiva; propone y difunde medidas para el cuidado de la salud. | Experimenta con fuentes de luz y objetos de diferentes materiales para generar sombras e identificar las condicones necesarias para su formación. |
| | Indaga cómo fabricar un juguete o instrumento musical que produzca sonido, construye uno y explica su funcionamiento y las características del sonido que produce. |  |
| Cambios y regularidades de fenómenos naturales y actividades de las personas. | Reconoce la sucesión del día y la noche a partir de describir cronológicamente las actividades personales, familiares y comunitarias que se realizan, teniendo como referencia la presencia del Sol y la Luna, así como algunas de sus características perceptibles como forma, cambio de posición, y emisión de luz y calor. | Indaga con personas de la comunidad y otros medios de información algunos fenómenos naturales que ocurren durante los meses y el año, y registra sus hallazgos, para establecer regularidades. |
| | Describe y registra de manera cronológica cambios y regularidades del entorno natural durante el día, la noche y a lo largo de una semana, utilizando términos como ayer, hoy, mañana, los nombres y orden de los días de la semana y las relaciones temporales "antes de" y "después de" | Observa los cambios en la forma de la Luna a lo largo de un mes, los registra con dibujos teniendo como guía una hoja del calendario que corresponda al mes en que realiza la observación, sin pretender que reconozca los nombres de las fases lunares. |
| Estudio de los números | Expresa oralmente la sucesión numérica en su lengua materna y en español, primero hasta 20, luego hasta 40, posteriormente hasta 60 y finalmente hasta 120 elementos, o hasta donde sea posible en su lengua materna, de manera ascendente y descendente a partir de un número dado. | Expresa oralmente la sucesión numérica hasta 1000, en español y hasta donde sea posible en su lengua materna, de manera ascendente y descendente a partir de un número dado. |
| | A través de situaciones cotidianas, cuenta, ordena, representa de diferentes formas, interpreta, lee y escribe la cantidad de elementos de una colección, primero de hasta 5, después hasta de 10 y paulatinamente de hasta 100 elementos. | A través de situaciones cotidianas cuenta, ordena, representa de diferentes formas, interpreta, lee y escribe la cantidad de elementos de colecciobnes con menos de 1000 elementos; identifica regularidades en los números que representan unidades, decenas y centenas. |
| | Identifica regularidades en la sucesión numérita hasta 100. | Utiliza los símbolos "mayor que" "menor que" o "igual" para comparar u ordenar los números. |
| Construcción de la noción de suma y resta, y su relación como operaciones inversas. | Reconoce, a partir de la resolución de situaciones que implican agregar, quitar, juntar, comparar y completar, que la suma es el total de dos o más cantidades y la resta, como la pérdida de elementos en una colección. | Representa con diferentes expresiones aditivas (suma y resta) cantidades menores a 1000. |
| | Resuelve problemas vinculados a su contexto que implican sumas o restas (sin hacer uso del algoritmo convencional) con cantidades de hasta dos dígitos; representa de diversas formas (material concreto, representaciones gráficas) sumas y restas, incluyendo los signos "+", "-", "=" y numerales. | Resuelve problemas que implican avaznar (suma) y retroceder (resta) en la recta numérica. |
| | Utiliza, explica y comprueba sus estrategias para calcular mentalmente sumas o restas con números naturales de una cifra. | Resuelve situaciones problemáticas vinculadas a su contexto que implican sumas utilizando agrupamientos y el algoritmo convencional con números de hasta dos cifras. |
| |  | Utiliza, explica y comprueba sus estrategias para calcular mentalmente sumas o restas con números naturales de hasta dos cifras. |
| Construcción de la noción de multiplicación y división, y su relación como operaciones inversas. |  | Resuelve problemas vinculados a su contexto que requieren multiplicar con apoyo de material concreto, sumas iteradas o arreglos rectangulares, que involucran números menores o iguale a 10; reconoce la multiplicación como la operación que resuelve problemas en los que siempre se suma la misma cantidad y utiliza el signo "x" (por) para representarla. |
| |  | Distingue y explica diferencias entre problemas que se resuelven con sumas de sumandos diferentes y problemas que se resuelven con sumas de sumandos iguales. |
| |  | Utiliza y explica diversas estrategias para calcular mentalmente multiplicaciones de números naturales menores que 10. |
| |  | Resuelve, mediante diversos procedimientos, problemas que implican repartos con diversos menores que 10 y dividendo de dos cifras. |
| Cuerpos geométricos y sus características | Observa y manipula objetos de su entorno para identificar y describir líneas y rectas o curvas, caras planas o curvas; los representa mediante diversos procedimientos. | Clasifica objetos de su entorno o cuerpos geométricos de acuerdo con distintos criterios (caras planas o curvas, caras iguales); los construye usando cajas, bloques o cubos. |
| Figuras geométricas y sus características | Representa animales, plantas u objetos utilizando el tangram y otras figuras geométricas, para reconocer y describir oralmente y por escrito sus nombres y propiedades (forma y número de lados y vértices), utilizando paulatinamente un lenguaje formal para referirse a ellas. | Construye composiciones geométricas cada vez más complejas, por el tipo de figuras o por el número de "piezas", con el uso del tangram y geoplano. |
| |  | Clasifica y describe polígonos por el número de lados en triángulos, cuadriláteros, pentágonos, hexágonos y octágonos, utilizando paulatinamente un lenguaje formal para referirse a sus propiedades (número de vértices y lados); los construye sobre retículas de cuadrados o puntos. |
| Medición de longitua, masa y capacidad. | Compara la longitud de objetos de manera directa e indirecta con apoyo de un intermediario (objetos o partes de su cuerpo), determina cuál es mayor, el menor o si son iguales y expresa el resultado de la comparación en su lengua materna y en español, con dibujos y numerales. | Estima, mide, compara, ordena y registra longitudes, usando unidades arbitrarias (objetos o instrumentos de medida) de su comunidad y las representa en rectas numéricas. |
| | Sopera objetos para estimar cuál tiene mayor o menor masa; comprueba su estimación con el apoyo de una balanza. | Compara capacidades y masas usando unidades de medidad de la comunidad, o unidades arbitrarias; representa los resultados con dibujos y numerales. |
| Medición del tiempo. | Utiliza términos como antes, después, hoy, ayer, mañana, etc., en su lengua materna y en español, para describir y registrar cronológicamente actividades en un periodo determinado (día, semana, mes) con el apoyo de calendarios; reconoce que la semana está integrada por siete días que ocurren ciclícamente. | Describe y registra cronológicamente en tablas, pictogramas o calendarios, hechos y fenómenos naturales y sociales en periodos (día, semana, mes y año), utilizando los términos de su comunidad (actividad recurrente durante todo el ciclo escolar); reconoce que el año está integrado por doce meses que ocurren ciclícamente. |
| Organización e interpretación de datos. | Elabora registros de datos mediante distintos recursos como pictogramas o tablas para responder preguntas de su interés. | Recolecta, organiza, representa e interpreta datos en tablas o pictogramas para responder preguntas de su interés. |
