| Contenidos | 5º | 6º |
| | Escribe textos informativos, empleando signos de puntuación: como, dos puntos, punto y seguido, y punto y aparte, para organizar las ideas dentro de los párrafos. | Escribe textos informativos en los que registra, de manera convencional, los datos de las fuentes consultadas: autor, título, editorial, fecha y lugar de publicación, páginas consultadas, etcétera. |
| Comprensión y producción de textos discontinuos, para organizar y presentar información. | Reconoce, mediante el análisis, las características y funciones de los textos discontinuos, en particular de tablas de doble entrada, líneas del tiempo y cronológicos. | Reconoce, mediante el análisis, las características y funciones de los textos discontinuos, en particular de gráficas, cuadros sinópticos y mapas conceptuales. |
| | Reflexiona sobre la utilidad de los textos discontinuos para organizar y presentar información. | Reflexiona sobre las posibilidades de los textos discontinuos para organizar la información que expone a otras personas. |
| | Selecciona información para organizarla y presentarla por medio de textos discontinuos. | Sintetiza información, sin perder el significado original, para organizarla y presentarla por medio de textos discontinuos. |
| | Produce textos discontinuos, considerando al destinatario y tomando en cuenta aspectos gráficos como el tamaño de la letra empleada, a fin de garantizar su legibilidad. | Produce textos discontinuos, considerando al destinatario y empleando elementos gráficos útiles para organizar y presentar información, como tipografía, viñetas, espacios de la página, interlineado, signos de puntuación, mayúsculas y minúsculas. |
| Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales. | Reconoce las características y función de las reseñas. | Explica la utilidad de las reseñas y comenta sus características. |
| | Describe un texto leído y construye una opinión acerca del mismo, explicando su parecer. | Describre el material audiovisual consultado y registra los datos de identificación de este: título, tema, director, protagonistas, institución o empresa productora, fecha de realización, etcétera. |
| | Usa expresiones como creo que, en mi opinión, pienso que, de acuerdo con, desde mi punto de vista, considero que, para organizar y compartir su opinión. | Elabora una opinión sustentada acerca de un material reseñado. |
| | Registra datos de identificación del texto: título, autor, editorial y lugar y fecha de publicación, número de páginas. | Usa conectores como porque, ya que, puesto que, por, debido a, etcétera, con los que apoya la argumentación de sus opiniones. |
| | Revisa y corrige reiteraciones innecesarias en la escritura de la reseña: errores de concordancia y de ortografía en general. | Revisa y corrige reiteraciones innecesarias y errores de concordancia y ortografía en general. |
| Comparación y producción de documentos que regulan la convivencia. | Analiza varios reglamentos escolares, e identifica características como brevedad o concisión y uso de verbos y numerales. | Reconoce la función e importancia de cumplir las pautas o normas establecidas en reglamentos para regular la convivencia. |
| | Comprende y explica la función de los reglamentos. | Reflexiona y comprende la concisión de las reglas, el empleo de verbos (modo y tiempo) y el uso de numerales. |
| | Participa en la elaboración del reglamento del aula. | Escribe las reglas para lograr una convivencia respetuosa, incluyente, equitativa e igualitaria en la escuela, tomando en consideración sus experiencias a lo largo de la primaria. |
| | Revisa y corrige errores de concordancia y ortografía en el texto. | Utiliza oraciones breves y decide si debe emplear subtítulos, viñetas o incisos. |
| |  | Revisa y corrige errores en cuanto al contenido, concordancia y ortografía en el texto, hasta que logra la versión final del reglamento escolar. |
| Exposición sobre temas relacionados con el cuidado de la salud. | "Como presentador o presentadora
* Recupera e integra información de diversas fuentes, gráficas, orales y/o escritas, para preparar su presentación.
* Escribe palabras clave y/o notas breves para usarlas como guía y exponer de manera lógica y secuenciada, empleando un léxico formal.
* Elabora cuadros sinópticos, esquemas, tablas de doble entrada u otros recursos gráficos, como material de apoyo para la exposición.
* Conserve la atención de las espectadoras y los espectadores, resuelve dudas y hace comentarios acerca de lo que le plantean.
Como audiencia
* Mantiee la atención en lo que presenta la expositora o el expositor, toma notas sobre lo que le parece más relevante, le causa duda o quuiere comentar, y pide y hace uso de la palabra para plantear preguntas, hacer comentarios o compartir su opinión." | "Como presentador o presentadora
* Elabora un guión para presentar de manera ordenada información que investigó en diversas fuentes, gráficas, orales y/o escritas, y usó para construir su exposición.
* Usa un léxico formal y mantiene o recupera la atención de la audiencia haciendo inflexiones de voz, ademanes, gestos, preguntas.
* Aclara las dudas que le plantean y, en general, atiende los comentarios u opiniones que le comparten acerca de lo expuesto.
Como audiencia
* Comprende lo que escucha, apunta lo que le interesa, pregunta y comenta sobre lo expuesto, y argumenta sus opiniones y divergencias." |
| Producción y envió de cartas personales. | Lee distintas cartas personales reales y literarias. | Lee distintas cartas personales reales y literarias y analiza sus características. |
| | Reflexiona sobre las características y funciones de las cartas personales enviadas por correo postal y electrónico. | Discute sobre las similitudes y diferencias, así como sobre las ventajas y desventajas del correo postal y el electrónico. |
| | Expresa sentimientos, ideas y experiencias por medio de cartas, pensando en destinatarias y destinatarios específicos. | Reconoce la estructura de la información de las direcciones postales y electrónicas de destinatarias, destinatarios y remitentes. |
| | Reconoce palabras y expresiones que señalan tiempo y espacio en las cartas personales: allá, aquí, ahí, acá, hace tiempo. | Expresa sentimientos, ideas y experiencias por medio de cartas, en función de las destinatarias y los destinatarios y emplenado adverbios de tiempo y lugar: ayer, hoy, mñana, anoche, ahora, después, luego, nunca, jamás, aquí, allí, arriba, abajo. |
| | Envía las cartas que  escribe a través del correo postal y/o electrónico. |  |
| Interpretación y producción de anuncios publicitarios de productos o servicios ofrecidos en la comunidad. | Analiza anuncios publicitarios impresos y electrónicos, e identifica sus características y funciones. | Recopila y analiza anuncios publicitarios elaborados con distintos fines; por ejemplo, comerciales, políticos y sociales. |
| | Reflexiona sobre los recursos empleados para persuadir a los consumidores, como las imágenes que utilizan y, en particular, las características del lenguaje escrito; por ejemplo; por ejemplo, uso de adjetivos, rimas, juegos de palabras, metáforas y comparaciones, así como la brevedad. | Reflexiona sobre las características y funciones de las frases publicitarias empleadas en anuncios publicados en medios impresos y electrónicos y analiza el uso de estereotipos, frases sugestivas, juegos de palabras y demás recursos lingüísticos y gráficos. |
| | Identifica los productos y servicios ofrecidos en su comunidad que desea publicitar. | Adopta una postura crítica ante los mensajes publicitarios y discute sobre ella con sus compañeras y compañeros. |
| | Elabora anuncios publicitarios en los que emplea distintas estrategias textuales para persuadir a su público objetivo, cuidando la distribución gráfica, por ejemplo, el tamaño y colocación de texto e imagen, así como la claridad. | Elabora anuncios publicitarios sobre los productos y servicios ofrecidos en su comunidad, en los que considera la disposición gráfica y el uso de adjetivos, frases adjetivas, adverbios y figuras retóricas como analogías, metáforas, comparaciones, rimas, hipérboles y demás juegos de palabras. |
| | Difunde con las personas de la comunidad los anuncios publicitarios elaborados. | Difunde con las personas de la comunidad los anuncios publicitarios elaborados, así como su postura crítica ante los mensajes publicitarios analizados. |
| Seguimiento crítico de noticias en diferentes medios en comunicación escrita. | Expresa interés por una noticia particular y busca notas informativas relacionadas en distintos medios de comunicación escrita: periódicos, revistas, portales de internet. | Consulta distintos medios de comunicación escrita y selecciona noticias de su interés, justificando las razones de su elección. |
| | Da seguimiento a las noticias de su interés en diferentes medios de comunicación escrita. | Da seguimiento a las noticias de su interés en distintos medios de comunicación escrita e identifica las fuentes de las que proviene la información: testimonios, agencias de noticias, otros diarios y revistas. |
| | Analiza los elementos que componen las notas informativas sobre noticias de su interés en los diferentes medios de comunicación escrita: títulos, balazos, entradillas, tipografías, usos de espacios, puntuación, elementos gráficos, formas de referirse a las personas o lugares involucrados. | Identifica relacioines de contraste, complementariedad, causa-consecuencia y temporalidad entre las diferentes notas informativas sobre el mismo hecho noticioso. |
| | Compara las diferencias y similitudes en las distintas formas de presentar las noticias de su interés. | Reflexiona sobre las diferentes formas de expresar y abordar el mismo hecho noticioso en diferentes medios de comunicación escrita: extensión, manera de presentarlo, opiniones de las autoras y los autores, tipo de información que se revela. |
| | Comparte sus reflexiones sobre los hechos noticiosos de su interés y sobre la experiencia en diferentes medios de comunicación escrita. | Escribe y comparte sus conclusiones sobre el hecho noticioso y sus reflexiones sobre las razones por las que pueden presentarse de diferente manera en cada medio de comunicación escrita. |
| Comprensión y producción de textos para gestionar servicios públicos. | Explora distintos formularios para gestionar servicios públicos: los que brinda la escuela, la biblioteca o, en general, la comunidad. | Dialoga con sus pares sobre los servicios públicos que podrían gestionar para mejorar su entorno natural y social, define con sus compañeras y compañeros cuál gestionarán y averiguan a qué persona o institución deben dririgirse. |
| | Reflexiona tanto sobre la utilidad de esta clase de documentos como sobre sus características y funciones. | Reflexiona sobre las características de las cartas formales. |
| | Llena diferentes formularios e identifica el tipo de información que incluyen y solicitan. | Escribe con sus compañeras y compañeros una carta formal, en la que explican, por un lado, el servicio público que solicitan, y por otro, las razones. |
| | Reconoce la utilidad de los formularios para gestionar servicios públicos. | Emplea mayúsculas al inicio de los párrafos y de los nombres propios, así como punto y seguido, punto y aparte, dos puntos y coma para ordenar las oraciones y los párrafos. |
| |  | Envía, con apoyo del profesor o profesora, la carta formal y le da seguimiento a la solicitud. |
| Elaboración de un tríptico informativo sobre la prevención de algún problema colectivo. | Recopila y analiza distintos trípticos informativos para conocer sus características y funciones. | Indaga y reflexiona sobre las características y funciones de los trípticos informativos. |
| | Determina, por medio del diálogo con sus compañeras y compañeros, algún problema colectivo que pueda prevenirse, relacionado con la salud, la violencia, el bienestar. | Investiga en diferentes fuentes impresas y electrónicas, y por medio de entrevistas con personas de la comunidad, sobre algún problema colectivo que pueda prevenirse y sobre las maneras de lograrlo. |
| | Investiga en varias fuentes sobre el problema colectivo que quieren prevenir y, en común acuerdo con sus pares, integra la información más relevante en un texto breve que incluya nexos que ayuden a que las ideas se presenten de manera ordenada y coherente. | Comparte con sus compañeras y compañeros la información investigada y dialoga para que, entre todos y todas, reflexionen sobre la relevancia de la prevención y elijan el problema colectivo sobre el que harán un tríptico informativo. |
| | Organiza la información textual y gráfica en un tríptico en el que se defina el problema que quieren prevenir y las razones para hacerlo, así como las medidas de prevención de las personas, fuentes o instituciones a las cuales es posible recurrir para profundizar en el asunto o buscar ayuda. | Investiga con mayor profundidad sobre el problema colectivo que hayan elegido e integran la información en un texto breve que incluirán en un tríptico que contenga portada, imágenes, gráficas, tablas, cuadros, fuentes de consulta, datos de personas o instituciones de apoyo, etcétera. |
| | Presenta y difunde el tríptico con la comunidad escolar. | Presenta y difunde el tríptico con la comunidad. |
| Reconocimiento de la diversidad lingüística de México. | Investiga en fuentes impresas y/o electrónicas sobre la diversidad lingüística en México y sobre la influencia de las lenguas originarias en el español en México. | Identifica qué lenguas se hablan en su familia, localidad y/o región, por medio de entrevistas y fuentes impresas y electrónicas. |
| | Averigua por medio de entrevistas con personas adultas mayores y la consulta de diccionarios, algunas palabras usuales en el español mexicano que provienen de lenguas originarias. | Escribe un texto sobre los resultados de su investigación, emplenado comillas para diferencias las palabras de otras y de las suyas, e incluyendo las referencias de las fuentes consultadas. Comparte el resultado de su investigación. |
| | Registra las palabras sobre las que averiguó, comprende su significado y, de ser posible, indaga en su historia.  Comparte el resultado de su investigación. | Reflexiona sobre las diferentes formas de valorar las lenguas en diversos contextos y sobre las posibles razones por las que esto ocurre. |
| | Reflexiona sobre la diversidad lingüística en México y valora su riqueza. |  |
| Interpreación y valoración de manifestaciones culturales y artísticas de México y del mundo. | Explora manifiestaciones culturales y artísticas de diversos orígenes, e identifica sus elementos, para recrearlos mediante textos y otras producciones artísticas, que amplíen sus concepciones de ser y estar en el mundo. | Reconoce ideales y temáticas sociales que se imprimieron en ciertas manifestaciones culturales y artísticas, en un tiempo y espacio determinados. |
| | Relaciona el uso de textos, imágenes, colores, objetos, sonidos, silencios, aromas y movimientos presentes en manifestaciones culturales y artísticas, con los que infiere su significado, a partir de intereses, perspectivas y creencias propias. | Analiza las partes y elementos que conforman una manifestación cultural o artística, y reconoce la multiplicidad de significados, puntos de vista y concepciones del mundo en ella. |
| | Construye significados en lo individual y colectivo, a partir de la observación y comprensión de sonidos y gestos, formas, colores, texturas, objetos, aromas, movimientos, así como del contexto de creación de manifestaciones culturales y artísticas. | Reconoce símbolos presentes en manifestaciones culturales y artísticas, a partir del análisis e interpretaciñon de formas, colores, texturas, sonidos, objetos, aromas, movimientos y gestos, que contienen. |
| Apropiación e intervención artística en el espacio comunitario. | Plantea propuestas creativas de atención y/o solución, al identificar y socializar necesidades, intereses y problemas de la comunidad. | Reflexiona en colectivo acerca de las maneras en que un espacio puede ser mejorado, y lo lleva a cabo mediante la planeación de expresiones artísticas, tales como performance, videoarte, instalación, escultura, o teatro comunitario. |
| | Representa problemas detectados en su comunidad, por medio de historietas, maquetas, improvisaciones teatrales, una secuencia dancística o una canción popular donde modifique su letra para compartir su perspecrtiva con otras personas. | Representa en colectivo problemas de la comunidad para visibilizarlas mediante propuestas artísticas ante los demás. |
| | Planea e interviene un espacio de la escuela o la comunidad, utilizando objetos y materiales a su alcance, así como su cuerpo, sonidos y gestos. | Crea producciones artísticas con distintos lenguajes: oral, escrito, alternativo, musical, visual, teatral o dancístico, para transformar de manera efímera o incluso permanentemente, un espacio público de la comunidad, a favor del bienestar social. |
| Análisis de cuentos y poemas para su disfrute y comprensión. | Lee y selecciona cuentos y poemas mexicanos a partir de sus intereses y gustos, y comparte los motivos de su elección. | Selecciona y lee cuentos y poemas del mundo a partir de sus intereses y gustos. |
| | Analiza cuentos y poemas, y expresa oralmente sus interpretaciones de estos. | Intercambia con sus pares los cuentos y poemas que más le gustaron y discute sobre su significado. |
| | Distingue las características tanto de cuentos como de poemas. | Reconoce las características tanto de cuentos como de poemas. |
| | Organiza y participa en un recital literaio en el que lee en voz alta y cuentos y poemas para la comunidad escolar. | Elabora una antololgía con los cuentos y poemas seleccionados, así como con cuentos de producción propia, que incluya título, portada, portadilla, índice, ilustraciones, comentarios sobre la interpretación de cada texto y nombres de las y los participantes. |
| | Crea poemas y cuentos en colectivo a partir de historias propias, familiares o populares. | Comparte la antología y con la comunidad educativa y deja un ejemplar en la biblioteca escolar. |
| Combinación de elementos visuales, sonoros y corporales en composiciones artísticas colectivas, para expresar rasgos de sus identidades personal y colectiva. | Relaciona movimientos corporales con sonidos producidos con objetos del entorno, el cuerpo y/o la voz, en secuencias colectivas que narran una historia propia que les es significativa. | Combina formas, colores, texturas, sonidos, movimientos y gestos para representar personajes, lugares y situaciones y los guarda en video o los presenta en vivo al montar una exposición en la que se invite a familiares y el resto de la comunidad escolar, para su apreciación y disfrute. |
| | Explora sonidos graves, agudos, rápidos, lentos, fuertes, débiles, largos, cortos, con pausas y acentos, para relacionarlos con la voz y características de un personaje, que crea a partir de objetos cotidianos y de sus rasgos de identidad personal. | Recrea lugares y experiencias significativas, a partir de una composición visual colectiva que sonoriza con objetos a su alcance, mientras la narra en un audiovisual. |
| | Recrea colectivamente una misma escena o paisaje de su entorno natural o social, con movimientos corporales y sonidos, y posteriormente con objetos en una secuencia animada (stop motion) o una historieta. | Combina secuencias de formas, colores, texturas, sonidos, movimientos, gestos y objetos, para explorar distintas maneras de expresar, en colectivo, una misma experiencia con distintos elementos. |
| | Construye propuestas artísticas de manera grupal, a partir del uso de formas, colores, texturas, sonidos, movimientos y gestos, que representen su identidad colectiva. |  |
| Expresión, mediante el uso de los lenguajes artísticos, de experiencias estéticas que tienen lugar en la naturaleza. | Comparte sensaciones, emociones, sentimientos e ideas, a partir del asombro generado por la interacción con la naturaleza y representa su experiencia en una producción artística. | Utiliza formas, colores, texturas, sonidos y movimientos, para expresar las emociones que surgen de una experiencia significativa en el entorno natural y las representa en colectivo mediante un mural o performance. |
| | Reconoce formas, colores, texturas, sonidos y movimientos, algunos componentes de la naturaleza y los recrea por medio de los lenguajes artísticos. | Aprecia la disposición de formas, colores, texturas, sonidos y movimientos en el entorno natural y usa elementos de los lenguajes artísticos para representar una experiencia significativa de sus vínculos con la naturaleza. |
| Creación y representación de narrativas a partir de acontecimientos relevantes de la comunidad, empleando recursos literarios, visuales, corporales y sonoros. | Combina secuencias de movimientos, gestos, formas, sonidos, colores y objetos, a partir de cuentos que lee o escucha. | Representa un acontecimiento de la comunidad, experimentando con movimientos suaves, fuertes, rápidos, lentos, fluidos o pausados en distintas trayectorias, desplazamientos y con acompañamiento musical. |
| | Combina secuencias de movimientos, gestos, formas, sonidos, colores y objetos, a partir de cuentos que lee o escucha. | Explora, en colectivo, movimientos, gestos formas, colores, sonidos y silencios y acuerda una estructura creativa para crear un acontecimiento improvisado (flashmoob) en su escuela o en la comunidad, donde se invite a todas las personas a participar en el momento en que se está llevando a cabo. |
| | Narra y representa teatral o dancísticamente historias o situaciones cotidianas de su comunidad que sean trágicas, cómicas, románticas, etcétera. |  |
| Combinación de la realidad y la ficción en elementos simbólicos de las manifestaciones culturales y artísticas, que dan identidad y sentido de pertenencia. | Aprecia movimientos, gestos y formas que crean los objetos y los cuerpos en una manifestación cultural o artística, para reflexionar sobre aquello que simbolizan. | Explora diversos elementos simbólicos que se encuentran en el entorno, a través del uso del color y las formas. |
| | Aprecia colores, sonidos y silencios en una manifestación cultural o artística de su interés y los contrasta con el significado que representan. | Infiere la intención del autor o autora al utilizar los siguientes elementos: movimiento, gesto, forma, sonido y/o color en una manifestación cultural y artística, y compara sus ideas con las de sus pares. |
| | Combina intencionalmente secuencias de formas, colores, textura, sonidos, silencios, movimientos, gestos y objetos, para recrear un fragmento de una manifestación cultural o artística con elementos simbólicos propios. | Reinterpreta una manifestación cultural o artística con un lenguaje artístico distinto al que se utilizó en su creación, para crear nuevas formas de simbolización. |
| |  | Aprecia y recrea una danza ritual colectiva, con elementos simbólicos propios de cada participante. |
| Análisis y representación de guiones teatrales. | Lee y analiza guiones teatrales de su elección, para reflexionar en colectivo sobre sus argumentos o tramas, las características de los personajes, así como las temas conflictos que abordan. | Formula comentarios críticos respecto de un guión teatral de su elección, para expresar sus gustos, interes e ideas, así como para desarrollar la argumentación. |
| | Realiza lecturas en voz alta de guiones teatrales y los representa en colectivo, mediante el empleo del cuerpo, procurando respetar los elementos que le permiten ser escenificados, tales como la presencia de acción, el conflicto, los diálogos, los personajes, las acotaciones y la tipografía empleada para distinguirlos. | Realiza una representación teatral en colectivo, jugando con combinaciones de secuencias de sonidos y movimientos rápidos, lentos, agudos, graves, fuertes, débiles, pausas y con acentos variados. |
| | Crea personajes y escenografías para la historia de una obra de teatro infantil y la sonoriza para representarla ante la comunidad. | Emplea diversos elementos de los lenguajes artísticos, para crear escenografía, vestuario y maquillaje en la escenificación de una obra de teatro infantil o una situación improvisada a la que se invite a familiares y otros miembros de la comunidad como espectadores y espectadoras. |
| Lectura y análisis de mitos y leyendas, para su disfrute y valoración. | Lee mitos y leyendas de México e identifica las características y funciones de cada tipo de texto. | Lee mitos y leyendas de México y del mundo, y reconoce las características y funciones de cada tipo de texto. |
| | Investiga sobre el origen de los mitos y leyendas leídos. | Analiza mitos y leyendas de México y del mundo, y discute sobre su significado. |
| | Identifica elementos de realidad y fantasía tanto en mitos como en leyendas. | Distingue las diferencias y similitudes entre los mitos y leyendas. |
| | Indaga, con las personas adultas mayores de su comunidad, para conocer los mitos y leyendas que forman parte de la cultura de su región. | Recupera mitos y leyendas con las personas de su comunidad y de libros y las compila. |
| | Escenifica un mito o leyenda de su interés frente a público. | Elabora un compendio de mitos y leyendas para compartir, que incluye título, portada, portadilla, introducción e índice. |
| | Reflexiona sobre la riqueza cultural que encierran los mitos y las leyendas. | Representa un mito o leyenda de su interés mediante una escultura, cómic, performance, entre otros. |
